Video,Sigma,Method,pre_delta_psnr,post_delta_psnr,codec_gain_psnr,win_rate_psnr,pre_delta_msssim,post_delta_msssim,codec_gain_msssim,win_rate_msssim,pre_delta_psnrb,post_delta_psnrb,codec_gain_psnrb,win_rate_psnrb,pre_delta_epsnr,post_delta_epsnr,codec_gain_epsnr,win_rate_epsnr,pre_delta_ssim,post_delta_ssim,codec_gain_ssim,win_rate_ssim,pre_delta_gbim,post_delta_gbim,codec_gain_gbim,win_rate_gbim,pre_delta_mepr,post_delta_mepr,codec_gain_mepr,win_rate_mepr
akiyo,0,nr,nan,-0.07863779999999991,nan,0.0,nan,nan,nan,nan,nan,-0.02302891803379765,nan,0.2,nan,-0.05147834195782508,nan,0.2,nan,-0.0002528000000000086,nan,0.0,nan,0.00719105821504078,nan,0.6,nan,-0.0025283056445739582,nan,0.0
akiyo,0,hqdn3d,nan,-0.5576233999999985,nan,0.0,nan,nan,nan,nan,-102.22284063391709,-0.25065893314864096,101.97218170076845,0.0,-102.06204201274068,-0.016672163642473238,102.04536984909821,0.4,-0.00756699999999999,-0.002367800000000009,0.005199199999999982,0.0,0.530926868001723,0.1091453285624798,-0.4217815394392431,1.0,-0.35696780810691264,-0.054656461465601526,0.3023113466413111,0.0
akiyo,0,dwt,nan,-2.378529799999997,nan,0.0,nan,nan,nan,nan,-113.8941312070997,-4.1621043406119655,109.73202686648774,0.0,-112.89010552724085,-2.8305924030091107,110.05951312423174,0.0,-0.012850999999999946,-0.004633000000000021,0.008217999999999925,0.0,-0.7123972560600453,-0.237515234012327,0.47488202204771834,0.0,-0.4428770649283431,-0.12654574581244854,0.31633131911589457,0.0
akiyo,0,gaussian,nan,-10.5077608,nan,0.0,nan,nan,nan,nan,-117.79806714549886,-9.352446856299371,108.4456202891995,0.0,-124.13162286317139,-11.911703100818634,112.21991976235276,0.0,-0.04568700000000003,-0.03562820000000002,0.010058800000000014,0.0,1.8969177622011921,1.3678969152348515,-0.5290208469663407,1.0,-0.5290966150126573,-0.29433438322717664,0.2347622317854806,0.0
akiyo,0,prop,nan,-0.23818819999999902,nan,0.0,nan,nan,nan,nan,-98.75873756202427,-0.10628244608042507,98.65245511594384,0.2,-98.8158164617256,-0.11023479689266154,98.70558166483295,0.0,-0.0017200000000000548,-0.000248600000000021,0.0014714000000000337,0.0,0.13088362165396994,0.018376375885096684,-0.11250724576887325,1.0,-0.07904575078427145,-0.013655520326851333,0.06539023045742012,0.0
akiyo,5,nr,nan,0.005658400000001507,nan,0.8,nan,nan,nan,nan,nan,0.012502973508348702,nan,0.6,nan,0.015413266445581542,nan,0.8,nan,-9.999999999843468e-07,nan,0.4,nan,-0.007626115110126364,nan,0.4,nan,0.004870141585267973,nan,0.8
akiyo,5,hqdn3d,0.8580650000000034,0.3376024000000001,-0.5204626000000033,1.0,nan,nan,nan,nan,1.0903114340065656,0.3762001006570074,-0.7141113333495582,1.0,0.36609877499709853,0.30809173530537065,-0.05800703969172788,1.0,0.019560000000000022,0.003726200000000035,-0.015833799999999988,1.0,1.143493620801035,0.06525113119008497,-1.07824248961095,1.0,0.02507215874706667,0.03307494929792119,0.008002790550854517,0.8
akiyo,5,dwt,4.242761000000002,1.1242875999999995,-3.118473400000002,1.0,nan,nan,nan,nan,3.7873401718406434,0.31306924680653053,-3.474270925034113,1.0,0.9081720542659326,0.5670767901419154,-0.34109526412401725,0.8,0.08796599999999999,0.01562220000000003,-0.07234379999999996,1.0,2.574826703496763,0.10162320219078973,-2.473203501305973,1.0,0.3730131511072813,0.13470531370813701,-0.23830783739914427,0.8
akiyo,5,gaussian,-2.676961999999996,-5.4281843999999975,-2.7512224000000014,0.0,nan,nan,nan,nan,2.005411636348896,-5.2803406281360346,-7.28575226448493,0.0,-8.912775560476994,-7.312454156162805,1.6003214043141893,0.0,0.07211800000000002,-0.014734400000000014,-0.08685240000000002,0.0,6.198712446306923,1.5454418950719826,-4.653270551234941,1.0,0.367333561782541,0.18387762279083933,-0.18345593899170168,0.8
akiyo,5,prop,4.434763000000004,1.3386118000000011,-3.0961512000000027,1.0,nan,nan,nan,nan,6.5221498306633805,1.2875347714827483,-5.234615059180632,1.0,4.070003338668926,1.3345086757155251,-2.7354946629534007,1.0,0.07751400000000008,0.013393200000000017,-0.06412080000000006,1.0,2.935033601868633,0.09255262620669642,-2.8424809756619367,1.0,0.21216720616321605,0.1874017474579897,-0.02476545870522634,0.8
akiyo,10,nr,nan,-0.0036731999999972233,nan,0.4,nan,nan,nan,nan,nan,-0.000864923112782634,nan,0.6,nan,0.006310916153923074,nan,0.6,nan,-0.00019299999999999873,nan,0.4,nan,-0.010759977613902193,nan,0.6,nan,-0.0013239011306678873,nan,0.2
akiyo,10,hqdn3d,0.14170199999999866,0.04921080000000018,-0.09249119999999848,1.0,nan,nan,nan,nan,0.17976221386794222,-0.013831141648720546,-0.19359335551666276,0.4,0.08899469892036649,0.022985044509676554,-0.06600965441068993,0.6,0.003178000000000014,0.0008836000000000289,-0.0022943999999999855,0.8,0.6032315454517487,0.00018362438057222262,-0.6030479210711766,0.4,0.0025406582750404985,0.0042554224258676,0.0017147641508271014,0.6
akiyo,10,dwt,4.021957999999998,1.602994400000003,-2.418963599999995,1.0,nan,nan,nan,nan,3.8949815567848383,1.678795602070324,-2.216185954714514,1.0,2.810057190161011,0.9548479019511931,-1.855209288209818,1.0,0.127923,0.03434740000000003,-0.09357559999999998,1.0,4.534828210118908,0.687342767374744,-3.8474854427441643,1.0,0.055388925962990866,0.15353495457743288,0.09814602861444202,1.0
